   NN30nlo_0112   NN30nlo_0113   NN30nlo_0114   NN30nlo_0115   NN30nlo_0116   NN30nlo_0117   NN30nlo_0118   NN30nlo_0119   NN30nlo_0120   NN30nlo_0121   NN30nlo_0122   NN30nlo_0123   NN30nlo_0124   NN30nlo_0125   NN30nlo_0126   NN30nlo_0127
     2.638e-03     2.676e-03     2.715e-03     2.754e-03     2.793e-03     2.832e-03     2.871e-03     2.910e-03     2.950e-03     2.989e-03     3.029e-03     3.069e-03     3.109e-03     3.149e-03     3.189e-03     3.229e-03
     1.262e-03     1.281e-03     1.299e-03     1.318e-03     1.336e-03     1.355e-03     1.373e-03     1.392e-03     1.411e-03     1.429e-03     1.448e-03     1.467e-03     1.486e-03     1.505e-03     1.524e-03     1.543e-03
     5.831e-04     5.915e-04     5.999e-04     6.084e-04     6.168e-04     6.253e-04     6.339e-04     6.424e-04     6.510e-04     6.596e-04     6.682e-04     6.769e-04     6.855e-04     6.942e-04     7.029e-04     7.117e-04
     2.587e-04     2.624e-04     2.661e-04     2.698e-04     2.736e-04     2.773e-04     2.811e-04     2.848e-04     2.886e-04     2.924e-04     2.962e-04     3.000e-04     3.038e-04     3.076e-04     3.114e-04     3.153e-04
     1.099e-04     1.115e-04     1.130e-04     1.146e-04     1.162e-04     1.177e-04     1.193e-04     1.209e-04     1.225e-04     1.241e-04     1.257e-04     1.273e-04     1.289e-04     1.305e-04     1.321e-04     1.337e-04
     1.061e-05     1.076e-05     1.091e-05     1.106e-05     1.121e-05     1.136e-05     1.151e-05     1.166e-05     1.181e-05     1.196e-05     1.211e-05     1.227e-05     1.242e-05     1.257e-05     1.272e-05     1.288e-05
     1.559e+03     1.588e+03     1.617e+03     1.647e+03     1.677e+03     1.707e+03     1.737e+03     1.768e+03     1.799e+03     1.830e+03     1.861e+03     1.893e+03     1.925e+03     1.957e+03     1.990e+03     2.023e+03
     6.832e+02     6.957e+02     7.082e+02     7.208e+02     7.336e+02     7.464e+02     7.594e+02     7.725e+02     7.857e+02     7.990e+02     8.124e+02     8.259e+02     8.396e+02     8.533e+02     8.672e+02     8.812e+02
     3.161e+02     3.217e+02     3.274e+02     3.331e+02     3.389e+02     3.447e+02     3.506e+02     3.565e+02     3.625e+02     3.685e+02     3.746e+02     3.807e+02     3.869e+02     3.931e+02     3.993e+02     4.057e+02
     1.528e+02     1.554e+02     1.581e+02     1.609e+02     1.636e+02     1.664e+02     1.692e+02     1.720e+02     1.748e+02     1.777e+02     1.805e+02     1.834e+02     1.863e+02     1.893e+02     1.922e+02     1.952e+02
     7.554e+01     7.684e+01     7.816e+01     7.948e+01     8.082e+01     8.217e+01     8.352e+01     8.489e+01     8.626e+01     8.765e+01     8.904e+01     9.045e+01     9.186e+01     9.328e+01     9.472e+01     9.616e+01
     3.778e+01     3.842e+01     3.907e+01     3.972e+01     4.038e+01     4.104e+01     4.171e+01     4.238e+01     4.306e+01     4.374e+01     4.442e+01     4.511e+01     4.580e+01     4.650e+01     4.721e+01     4.791e+01
     1.915e+01     1.947e+01     1.979e+01     2.012e+01     2.045e+01     2.078e+01     2.111e+01     2.144e+01     2.178e+01     2.212e+01     2.246e+01     2.280e+01     2.315e+01     2.349e+01     2.384e+01     2.419e+01
     9.814e+00     9.977e+00     1.014e+01     1.031e+01     1.047e+01     1.064e+01     1.081e+01     1.098e+01     1.115e+01     1.132e+01     1.149e+01     1.166e+01     1.184e+01     1.201e+01     1.219e+01     1.236e+01
     5.043e+00     5.126e+00     5.209e+00     5.292e+00     5.376e+00     5.461e+00     5.546e+00     5.631e+00     5.717e+00     5.804e+00     5.891e+00     5.978e+00     6.066e+00     6.155e+00     6.244e+00     6.333e+00
     2.579e+00     2.621e+00     2.663e+00     2.705e+00     2.747e+00     2.790e+00     2.833e+00     2.876e+00     2.919e+00     2.963e+00     3.007e+00     3.051e+00     3.095e+00     3.140e+00     3.185e+00     3.230e+00
     1.313e+00     1.334e+00     1.355e+00     1.376e+00     1.397e+00     1.419e+00     1.440e+00     1.462e+00     1.484e+00     1.506e+00     1.528e+00     1.550e+00     1.572e+00     1.594e+00     1.617e+00     1.639e+00
