MSTWnlo_0112  MSTWnlo_0113  MSTWnlo_0114  MSTWnlo_0115  MSTWnlo_0116  MSTWnlo_0117  MSTWnlo_0118  MSTWnlo_0119  MSTWnlo_0120  MSTWnlo_0121  MSTWnlo_0122  MSTWnlo_0123  MSTWnlo_0124  MSTWnlo_0125  MSTWnlo_0126  MSTWnlo_0127
4.383131e-03  4.418834e-03  4.456889e-03  4.498169e-03  4.543861e-03  4.591479e-03  4.639926e-03  4.688217e-03  4.742684e-03  4.794395e-03  4.854098e-03  4.921813e-03  5.001388e-03  5.104580e-03  5.308573e-03  5.386617e-03
2.383081e-03  2.400041e-03  2.418258e-03  2.438199e-03  2.460667e-03  2.484264e-03  2.508384e-03  2.532596e-03  2.560266e-03  2.586327e-03  2.617141e-03  2.652803e-03  2.695459e-03  2.752062e-03  2.869648e-03  2.910602e-03
1.260005e-03  1.267537e-03  1.275770e-03  1.284806e-03  1.295318e-03  1.306453e-03  1.317851e-03  1.329466e-03  1.342869e-03  1.355429e-03  1.370721e-03  1.388788e-03  1.410876e-03  1.440916e-03  1.506768e-03  1.527461e-03
6.548095e-04  6.579346e-04  6.614567e-04  6.653880e-04  6.700677e-04  6.751096e-04  6.803163e-04  6.857144e-04  6.920285e-04  6.979480e-04  7.053405e-04  7.142926e-04  7.255086e-04  7.412615e-04  7.774792e-04  7.877553e-04
3.302394e-04  3.313880e-04  3.327288e-04  3.342928e-04  3.362189e-04  3.383436e-04  3.405661e-04  3.429190e-04  3.457291e-04  3.483648e-04  3.517575e-04  3.560051e-04  3.614699e-04  3.694240e-04  3.886505e-04  3.935295e-04
1.607332e-04  1.610775e-04  1.615177e-04  1.620536e-04  1.627789e-04  1.636082e-04  1.644854e-04  1.654370e-04  1.666238e-04  1.677147e-04  1.692069e-04  1.711473e-04  1.737203e-04  1.775922e-04  1.874877e-04  1.897116e-04
7.539630e-05  7.544841e-05  7.554942e-05  7.569000e-05  7.591710e-05  7.619854e-05  7.650530e-05  7.685682e-05  7.731428e-05  7.773177e-05  7.834476e-05  7.918391e-05  8.033957e-05  8.213935e-05  8.701327e-05  8.797229e-05
1.337078e-05  1.334538e-05  1.332870e-05  1.331969e-05  1.332538e-05  1.334174e-05  1.336304e-05  1.339455e-05  1.344423e-05  1.348875e-05  1.357028e-05  1.369501e-05  1.388079e-05  1.419324e-05  1.512454e-05  1.526593e-05
1.978787e+03  2.015986e+03  2.053292e+03  2.090525e+03  2.127932e+03  2.165231e+03  2.202347e+03  2.238749e+03  2.276151e+03  2.312894e+03  2.349657e+03  2.386267e+03  2.422805e+03  2.459036e+03  2.493732e+03  2.530493e+03
8.858491e+02  9.023795e+02  9.189818e+02  9.356210e+02  9.523635e+02  9.690503e+02  9.856603e+02  1.001889e+03  1.018681e+03  1.035136e+03  1.051615e+03  1.068034e+03  1.084460e+03  1.100835e+03  1.116846e+03  1.133586e+03
4.186384e+02  4.263538e+02  4.341232e+02  4.419408e+02  4.498199e+02  4.576761e+02  4.655001e+02  4.731226e+02  4.810520e+02  4.888061e+02  4.965887e+02  5.043443e+02  5.121290e+02  5.199416e+02  5.277600e+02  5.357847e+02
2.073415e+02  2.111030e+02  2.148998e+02  2.187332e+02  2.226098e+02  2.264785e+02  2.303301e+02  2.340761e+02  2.379891e+02  2.418130e+02  2.456594e+02  2.495003e+02  2.533709e+02  2.572855e+02  2.613184e+02  2.653439e+02
1.055180e+02  1.073994e+02  1.093001e+02  1.112278e+02  1.131834e+02  1.151376e+02  1.170823e+02  1.189717e+02  1.209514e+02  1.228868e+02  1.248374e+02  1.267914e+02  1.287684e+02  1.307839e+02  1.329240e+02  1.349935e+02
5.460328e+01  5.555725e+01  5.652163e+01  5.750372e+01  5.850391e+01  5.950447e+01  6.050016e+01  6.146696e+01  6.248277e+01  6.347547e+01  6.447957e+01  6.548923e+01  6.651604e+01  6.757291e+01  6.873491e+01  6.981381e+01
2.887633e+01  2.937077e+01  2.987110e+01  3.038211e+01  3.090489e+01  3.142822e+01  3.194947e+01  3.245520e+01  3.298826e+01  3.350855e+01  3.403733e+01  3.457114e+01  3.511717e+01  3.568528e+01  3.633315e+01  3.690809e+01
1.547717e+01  1.573622e+01  1.599865e+01  1.626733e+01  1.654339e+01  1.682005e+01  1.709583e+01  1.736326e+01  1.764607e+01  1.792176e+01  1.820349e+01  1.848920e+01  1.878332e+01  1.909309e+01  1.946053e+01  1.977043e+01
8.427021e+00  8.564621e+00  8.704249e+00  8.847479e+00  8.995228e+00  9.143532e+00  9.291350e+00  9.434872e+00  9.586975e+00  9.735042e+00  9.887299e+00  1.004255e+01  1.020347e+01  1.037510e+01  1.058714e+01  1.075646e+01
4.601963e+00  4.675071e+00  4.749444e+00  4.825841e+00  4.904976e+00  4.984528e+00  5.063781e+00  5.140997e+00  5.222860e+00  5.302454e+00  5.384872e+00  5.469460e+00  5.557804e+00  5.653285e+00  5.776421e+00  5.869005e+00
2.537596e+00  2.576633e+00  2.616435e+00  2.657412e+00  2.699975e+00  2.742855e+00  2.785598e+00  2.827341e+00  2.871633e+00  2.914707e+00  2.959595e+00  3.005975e+00  3.054819e+00  3.108435e+00  3.180656e+00  3.231534e+00
1.415936e+00  1.437000e+00  1.458523e+00  1.480734e+00  1.503854e+00  1.527215e+00  1.550527e+00  1.573310e+00  1.597560e+00  1.621139e+00  1.645861e+00  1.671594e+00  1.698935e+00  1.729439e+00  1.772334e+00  1.800623e+00
7.819746e-01  7.931542e-01  8.046024e-01  8.164322e-01  8.287964e-01  8.413156e-01  8.538186e-01  8.660509e-01  8.791433e-01  8.918322e-01  9.052370e-01  9.193135e-01  9.344167e-01  9.515358e-01  9.767142e-01  9.922296e-01
4.299246e-01  4.357920e-01  4.418141e-01  4.480453e-01  4.545971e-01  4.612383e-01  4.678740e-01  4.743855e-01  4.814011e-01  4.881557e-01  4.953711e-01  5.030168e-01  5.113084e-01  5.208622e-01  5.355745e-01  5.440357e-01
